Epoch:0, Step:1920/156651600, loss:10.3886595, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:1950/156651600, loss:10.777463, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:1980/156651600, loss:10.22266, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:2010/156651600, loss:11.079819, acc:0.0, lr[0.0001]:.
Epoch:0, Step:2040/156651600, loss:10.114803, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:2070/156651600, loss:10.797146, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2100/156651600, loss:11.250053, acc:0.0, lr[0.0001]:.
Epoch:0, Step:2130/156651600, loss:10.524398, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:2160/156651600, loss:10.868635, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2190/156651600, loss:10.294277, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:2220/156651600, loss:11.238285, acc:0.0, lr[0.0001]:.
Epoch:0, Step:2250/156651600, loss:10.483943, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:2280/156651600, loss:11.229515, acc:0.0, lr[0.0001]:.
Epoch:0, Step:2310/156651600, loss:10.658186, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:2340/156651600, loss:11.284632, acc:0.0, lr[0.0001]:.
Epoch:0, Step:2370/156651600, loss:10.285759, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:2400/156651600, loss:10.4137745, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2430/156651600, loss:11.256895, acc:0.0, lr[0.0001]:.
Epoch:0, Step:2460/156651600, loss:10.301892, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:2490/156651600, loss:10.632903, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2520/156651600, loss:10.664396, acc:0.0, lr[0.0001]:.
Epoch:0, Step:2550/156651600, loss:11.144061, acc:0.0, lr[0.0001]:.
Epoch:0, Step:2580/156651600, loss:10.406341, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:2610/156651600, loss:10.02356, acc:0.15625, lr[0.0001]:.
Epoch:0, Step:2640/156651600, loss:10.567713, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2670/156651600, loss:10.681597, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2700/156651600, loss:10.90097, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2730/156651600, loss:10.149569, acc:0.125, lr[0.0001]:.
Epoch:0, Step:2760/156651600, loss:10.967311, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2790/156651600, loss:10.856991, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2820/156651600, loss:10.523612, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:2850/156651600, loss:10.531019, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2880/156651600, loss:10.823252, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2910/156651600, loss:10.891574, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:2940/156651600, loss:10.52573, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:2970/156651600, loss:11.050112, acc:0.0, lr[0.0001]:.
Epoch:0, Step:3000/156651600, loss:10.521325, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:3030/156651600, loss:10.977287, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:3060/156651600, loss:10.704905, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:3090/156651600, loss:9.986177, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:3120/156651600, loss:10.00903, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:3150/156651600, loss:10.285645, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:3180/156651600, loss:10.069292, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:3210/156651600, loss:10.597933, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:3240/156651600, loss:10.673508, acc:0.0, lr[0.0001]:.
Epoch:0, Step:3270/156651600, loss:10.561585, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:3300/156651600, loss:9.606447, acc:0.15625, lr[0.0001]:.
Epoch:0, Step:3330/156651600, loss:10.712287, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:3360/156651600, loss:11.027951, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:3390/156651600, loss:11.061238, acc:0.0, lr[0.0001]:.
Epoch:0, Step:3420/156651600, loss:10.678591, acc:0.0, lr[0.0001]:.
Epoch:0, Step:3450/156651600, loss:10.578832, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:3480/156651600, loss:10.226272, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:3510/156651600, loss:10.718691, acc:0.0, lr[0.0001]:.
Epoch:0, Step:3540/156651600, loss:10.198926, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:3570/156651600, loss:10.407477, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:3600/156651600, loss:10.776074, acc:0.0, lr[0.0001]:.
Epoch:0, Step:3630/156651600, loss:10.097994, acc:0.125, lr[0.0001]:.
Epoch:0, Step:3660/156651600, loss:10.637795, acc:0.0625, lr[0.0001]:.
Epoch:0, Step:3690/156651600, loss:10.350051, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:3720/156651600, loss:10.355851, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:3750/156651600, loss:11.051964, acc:0.0, lr[0.0001]:.
Epoch:0, Step:3780/156651600, loss:10.977423, acc:0.0, lr[0.0001]:.
Epoch:0, Step:3810/156651600, loss:10.5329485, acc:0.09375, lr[0.0001]:.
Epoch:0, Step:3840/156651600, loss:10.537068, acc:0.03125, lr[0.0001]:.
Epoch:0, Step:3870/156651600, loss:10.270995, acc:0.03125, lr[0.0001]:.
